Road Name | Direction       | Edge ID
----------------------------------------
North Road | northbound-r_up     | <498169188#0, 498169188#1, 498169188#2, 498169188#3>
North Road | southbound-r_down     | <24375221#0, 24375221#1, 24375221#2, 24375221#3>

South Road | Northbound-r_up     | <143957229#0, 143957229#1, 143957229#2, 143957229#3, 143957229#4, 143957229#5, 143957229#6, 143957229#7, 143957229#8, 143957229#9>
South Road | Southbound-r_down     | <24375222#1, 24375222#2, 24375222#3, 24375222#4, 24375222#5, 24375222#6, 24375222#7, 24375222#8, 24375222#9>

East Road  | Westbound-r-up     | <343146616#0, 343146616#1, 343146616#2, 343146616#3, 343146616#4, 343146616#5, 343146616#6, 343146616#7>
East Road  | Eastbound-r_down       | <1088038754#0, 1088038754#1, 11075217#0, 11075217#1, 11075217#2, 11075217#3>

West Road  | Eastbound-r_up      | <24449129#9, 24338292#1, 24338292#3, 24338292#4, 24338292#5, 24338292#6, 24338292#7>
West Road  | Westbound-rdown      | <144567412#0, 144567412#1, 144567412#2, 144567412#3, 144567412#5, 144567412#6, 144567412#7>
